Regions;Technologies;Curt
C1;WIND_OFFSHORE;0.0
C1;TIDAL_STREAM;0.0
C1;PV_UTILITY;0.0
C1;TIDAL_RANGE;0.0
C1;PV_ROOFTOP;0.0
C1;DHN_SOLAR;0.0
C1;PV_HS;0.0
C1;DEC_SOLAR;0.05587605915991125
C1;HYDRO_DAM;0.0
C1;HYDRO_RIVER;0.0
C1;ST_COLLECTOR;0.0
C1;PT_COLLECTOR;0.0
C1;WIND_ONSHORE;0.0
C2;WIND_OFFSHORE;0.0
C2;TIDAL_STREAM;0.0
C2;PV_UTILITY;0.0
C2;ST_COLLECTOR;0.0
C2;TIDAL_RANGE;0.0
C2;PV_ROOFTOP;0.0
C2;PT_COLLECTOR;0.0
C2;HYDRO_RIVER;0.0
C2;WIND_ONSHORE;0.0
C2;DEC_SOLAR;0.034486159282276926
C2;HYDRO_DAM;0.0
C2;DHN_SOLAR;0.0
C2;PV_HS;0.0
C3;DHN_SOLAR;0.0
C3;TIDAL_RANGE;0.0
C3;PT_COLLECTOR;0.0
C3;ST_COLLECTOR;0.0
C3;TIDAL_STREAM;0.0
C3;DEC_SOLAR;0.07546186135104913
C3;PV_HS;0.0
C3;WIND_OFFSHORE;0.0
C3;PV_UTILITY;0.0
C3;WIND_ONSHORE;0.0
C3;HYDRO_DAM;0.0
C3;PV_ROOFTOP;0.0
C3;HYDRO_RIVER;0.0
C4;PV_HS;0.0
C4;WIND_OFFSHORE;0.0
C4;PT_COLLECTOR;0.0
C4;WIND_ONSHORE;0.0
C4;DEC_SOLAR;0.4625693850049387
C4;HYDRO_DAM;0.0
C4;ST_COLLECTOR;0.0
C4;DHN_SOLAR;0.0
C4;TIDAL_RANGE;0.0
C4;PV_ROOFTOP;0.0
C4;PV_UTILITY;0.0
C4;HYDRO_RIVER;0.0
C4;TIDAL_STREAM;0.0
C5;HYDRO_RIVER;0.0
C5;PV_HS;0.0
C5;PV_UTILITY;0.0
C5;WIND_OFFSHORE;0.0
C5;PT_COLLECTOR;0.0
C5;WIND_ONSHORE;0.0
C5;DEC_SOLAR;0.002503605839426448
C5;PV_ROOFTOP;0.0
C5;HYDRO_DAM;0.0
C5;DHN_SOLAR;0.0
C5;TIDAL_RANGE;0.0
C5;TIDAL_STREAM;0.0
C5;ST_COLLECTOR;0.0
